text,label,pred_few_shot_2samples_cot_refine
"ngyêu mình đi từ trường về nhà có đâu 20p mà gần 2 tiếng sau mới nhắn mình về tới nhà. mình biết ngyêu mình bận đột xuất cái gì đó nhưng mà nhắn mình 1 câu thôi cũng được mà, bảo là anh bận chút cũng được nữa, xưa giờ mình có bắt kể lể ra đi đâu làm gì với ai đâu, chỉ là thông báo nhỏ thôi. con mẹ nó làm mình cứ lo sợ đi té xe hay cái gì ấy, lúc về nhà thì mắng mình sao anh đi về mệt em cứ cáu hoài vậy, biết là mình cáu lúc ngyêu mình mệt vậy là cũng không đúng nhưng mà nếu ngyêu mình không muốn vậy thì kiểu có việc đi đâu hay bận cái gì thì nhắn tiếng cho biết cũng được đúng không mng, kiểu mình thấy không tôn trọng mình gì cả, muốn đi là đi vậy á. đã thế còn dỗi mình, hẹn mình đi chơi xong ngủ mẹ rồi 😀 mình chỉ muốn kể lể 1 xíu vậy thôi á vì mình tức quá huhu, mai ngyêu mình dậy mình mới nói chuyện đàng hoàng",0,1
"dạo này mệt quá , mình tâm sự những gì mà dạo này mình giữ trong lòng tí nhé. mình là sinh viên năm nhất, học xa nhà, năm nhất học ít nên mình hay về nhà, cảm thấy về nhà thoải mái, bình yên lắm, thời gian đầu sống một mình, mình cảm thấy căng thẳng nhiều vì chưa quen cuộc sống xô bồ, tấp nập. những ngày đầu ngủ một mình ở phòng, mình nhớ nhà nên đêm nào cũng khóc sưng mắt, khóc học kỳ nào mệt thì ngủ, vì phòng trọ mình đông người ở, giờ giấc tự do nên có học kỳ 1 2h sáng còn có người vào ra. nhiều người thiếu ý thức cực kỳ, 1h đêm còn chạy tiếng xe đùng đùng, tiếng ex thì các bạn cũng biết mà, to lắm, nhiều hôm mình không ngủ được luôn í, xong có đêm đó 3 giờ sáng mình đang ngủ, ai đi ngang trước cửa lớn phòng trọ nẹt pô to một lúc, mình giật mình tỉnh dậy cảm thấy hoang mang vì tiếng nẹt to, vừa hết hồn vừa sợ mà bật khóc. tuy mình hướng nội nhưng mình rất dễ nói chuyện với những người bạn khác , mình nghĩ mình sẽ có thêm vài người bạn mới , sẽ vui hơn , nhưng có lẽ mình hi vọng quá rồi , thật ra mà nói , ở lớp mình chơi được 2 người , không quá thân , 1 người là ban đầu bắt chuyện rồi làm quen , mình sợ bạn chưa quen ai nên lúc nào cũng đi theo với bạn , sau đó mình có nói chuyện với vài người khác nhưng vẫn dắt bạn theo ngồi chung , sợ để bạn một mình buồn , mình cũng hay đi ăn uống chung với bạn lắm , cho đến học kỳ bạn quen được nhiều bạn hơn thì bạn lại ít chơi với mình hẳn, mình như bị ra rìa ý , nhiều lúc mình đợi bạn đi học về chung nhưng giờ bạn có nhiều bạn hơn , bạn không để ý đến mình nữa , đi về với mấy người bạn mới mặc kệ mình lủi thủi đi về một mình , nhiều học kỳ nói chuyện với những người khác mà quên luôn cả mình đứng nhìn một góc. nhiều học kỳ nghĩ cũng buồn lắm , nhưng mình vẫn ráng ý , hôm đó không biết sao mình lại bật khóc trên lớp , vội lau đi nước mắt , cảm thấy lạc lõng , không có ai trò chuyện , không có lấy vài người bạn thân , nhớ nhà , học xong về đến phòng, mình ngồi khóc 1 lúc thật to , nín không được luôn ý , nhiều học kỳ cũng cô đơn. mình ở một mình , nên nhiều học kỳ bệnh , cũng ráng ăn cho qua bữa rồi lại ngủ để đỡ buồn rồi lại khóc , có hôm sốt nóng lạnh , mình thì hay sốt nhưng lại quên mua thuốc trước , thế là chịu sốt để mai về lại nhà mua thuốc uống vì đã khuya , mình sốt không dám ra ngoài trời, gia đình mình thì cũng gọi là đủ ăn đủ mặc , mình sống thì đôi lúc cũng thoải mái , đôi lúc cũng tiết kiệm vì sợ hết tiền , nhiều hôm ăn đầy đủ bữa nhưng có hôm cả ngày chỉ ăn 1 cái bánh mì. mình đi học rồi lại về phòng , cả ngày chỉ ở phòng, lâu lâu buồn quá thì đi highlands ngồi uống cafe ngắm cảnh một tí cho đỡ buồn rồi lại về, nhiều lúc cũng buồn , cũng khóc nhiều, dạo này mình đau đầu , căng thẳng mệt mỏi quá, mình cảm thấy đường như mình lại bị trầm cảm lại rồi. mấy bạn năm nhất học xa nhà ơi , mấy bạn vẫn ổn chứ",0,1
"cho mình hỏi mấy bạn nam theo dõi người yêu cũ là do tò mò người ta đang sống như thế này hay còn nhớ thương ạ hãy cho mình biết với giờ mình rối lắm. mình không biết nên nói ra cho anh ấy biết rằng mình đã thấy anh ấy theo dõi facebook người yêu cũ hay mình chỉ âm thầm chăm sóc bạn thân để anh ấy mê mình hơn, quên người yêu cũ đi. mình và anh ấy đang nồng thắm và yên bình lắm nên đừng ai bỏ phiếu chia tay nhen ạ",0,0
"em lên đây để xin ý kiến của mọi người về câu chuyện của em ạ em và anh ấy yêu nhau cùng trường. giờ ra chơi có anh luôn đến tận lớp em và bắt em phải đi dạo quanh trường cùng anh. em mà không đi hay trốn là anh luôn túm chặt lấy tay hoặc kéo áo rất mạnh và đau, em muốn đi chơi với bạn hơn cơn. có lần xe em bị hỏng phải nhờ vài bạn trong lớp sửa cùng, anh đứng đấy nhìn không làm gì. xe sửa xong thì chỉ vỗ tay rồi để em đèo về rất nhiều lần em phải đèo đi đèo về rồi ạ có một hôm anh đòi em mua đồ ăn cho anh, em bảo hết tiền thì anh cứ đòi mãi xong nói là em ki bo, mặc dù anh cũng cho em nhiều thứ rồi. đi xe máy anh luôn vượt ẩu làm em rất sợ, ngồi sau em chỉ muốn nói anh đi chậm lại mà nghe như điếc. anh còn có cái tính hay bốc phét và chửi nhiều, em khó tin những lời anh nói. anh có bạn khác giới em vẫn không sao, chả hiểu bạn anh đùa là em đi với trai anh lại gắt lên xong cả cái tính thích ra oai nữa. có lần đang đi chơi với anh, thấy bố mẹ gần đó, anh bỏ em lại rồi nói là người không quen. anh còn rất vào duyên, tay em có hơi nhiều lông mà anh cứ chê lên xuống xong còn cười to tiếng. em có nên chia tay không ạ",0,1
"học kỳ nhìn vào gương, tôi thấy một người xa lạ đang nhìn lại. ánh mắt u buồn bộc lộ nỗi đau đớn, và tôi không biết làm thế nào để trở lại với bạn thân mình ngày xưa, người luôn đầy năng lượng và tinh thần lạc quan.",1,1
"xin chào mn. em là sinh viên năm 2 chuyên ngành công nghệ thông tin. em đang mất định hướng nghề nghiệp vì sự lười biếng trong năm đầu tiên dẫn đến lỗ hổng kiến thức rất nhiều. mặc dù em đã cố gắng tìm mọi tài liệu và học từ mọi nguồn có thể nhưng mọi thứ thực sự rất khô khan và em không có động lực hay kỷ luật nào cả. em không biết phải làm gì để thay đổi tình trạng này, chỉ cần bằng cách nào đó tạo điều kiện cho em ngồi học hàng giờ là đủ. em biết rằng với sự lười biếng của mình, chỉ có một kết cục đang chờ đợi phía trước. em cũng muốn tìm thêm vài người để học cùng nhưng mình giao tiếp khá kém và vì học năm 2 nên khó kết bạn. mọi người cho em lời khuyên với",0,1
"mình và bạn trai quen nhau 5 năm và thật sự tụi mình vẫn khó khăn có học kỳ chia nhau 1 hộp cơm, nhưng thật sự vì yêu anh ấy nên mình chấp nhận và luôn vui vẻ ở cạnh mặc dù ở cạnh anh ấy bạn thân mình hiểu rõ mình thiệt thòi rất nhiều, chắc phải gần 5 năm anh mới tặng mình bó hoa đầu tiên, nhưng mình lại thấy hạnh phúc vì có thể là người chịu cực cùng anh ấy. nhưng hôm nay mình có ngỏ lời hỏi rằng nếu em cần 2 hay 3 triệu để khám bệnh anh có cho em không thì lập tức nhận được câu trả lời là không... chứ không phải anh sẽ tìm mọi cách để có được trong khả năng dù không đủ nhưng được nhiêu đỡ mình bấy nhiêu... tự nhiên mình thấy rất hụt hẫng học kỳ nhận câu trả lời thẫn thừng là không thay vì anh sẽ tìm cách thử... rốt cuộc mình có đang suy nghĩ nhiều không mọi người.. và thật thì mình cũng cần tiền để khám chứ không phải thử lòng mình biết sẽ nhận 2 luồng ý kiến trái chiều nhưng thật sự mình đang tự hỏi rốt cuộc bao năm tháng chịu cực khổ qua có đúng hay không.. mình cảm ơn mọi người nhiều vì mọi người đã động viên và khuyên cho mình động lực rất nhiều, và mình cảm ơn vì mọi người cũng đã không nặng lời với người đó dù cho họ có sai 5 năm kết thúc như vậy thôi hì cảm ơn mọi người",0,1
tôi không biết do nghĩ nhiều nhưng ở nhóm mấy người thân mà toàn bị bơ chả ai để ý xong cứ quan tâm mấy cái chuyện mà chỉ có họ biết mình hỏi thì nói mày biết làm gì xong mình loại nhóm vì 1 số lí do thì lại nói xấu mình,0,1
"tớ thường bị mất ăn mất ngủ mỗi học kỳ bắt đầu thích một người thật nhiều. hồi tháng ba học kỳ mới gặp chị, tớ đã mất ngủ suốt một tuần trời và chứng lười ăn bắt đầu xuất hiện. sau này, tớ ổn định tinh thần rằng, chị không thích tớ và tớ cũng không thể bắt ép chị có tình cảm với mình. tớ dần suy nghĩ tích cực hơn dù từ đầu tớ cũng không hề tiêu cực và dần thích chị theo cách đơn thuần nhất. tớ mong chị hạnh phúc, dù rằng tớ không thể là hạnh phúc của chị. qua đi một thời gian, chị có từ chối tớ dù tớ chưa nói lời tỏ tình.. nhưng tớ biết rằng, qua hành động của tớ, chị cũng hiểu được phần nào tình cảm của tớ đối với chị. tớ quyết định và dần chấp nhận rằng bạn thân tớ sẽ không thích chị nữa. tớ tồi tệ thật, vì phải thừa nhận rằng trong lúc phải lòng người khác, tớ vẫn có cho mình một tình cảm nào đó đối với chị. tháng chín, tớ nhận ra rằng bạn thân còn thích chị, thậm chí ngày càng nhiều hơn lúc trước nhất là dạo gần đây, lòng tớ cứ bồi hồi nôn nao học kỳ nghĩ về chị. và, tớ lại bắt đầu lười ăn, dù tớ rất đói nhưng tớ chẳng muốn ăn gì cả.. cứ mỗi lần tớ dành tình cảm cho một người nhiều quá mức cần thiết thì điều này lại xuất hiện. tớ mong bạn thân nhanh chóng ổn định lại, tớ chẳng muốn mình như vậy chút nào cả...",1,1
"xin chào quản trị viên và chào mọi người. chuyện của mình không chắc có phải suy nghĩ nhiều không, nhưng mình thật sự muốn tâm sự, ngày hôm nay mình phát hiện ba mình gạ gẫm người đàn bà khác. mình đã nói với mẹ rồi mọi người ạ, mẹ cũng hiểu cũng không có tức giận. chuyện bắt đầu từ một cuộc gọi của ba, ba mình say và nhắn tin gạ gẫm người khác, người đó là người quen của mẹ mình luôn. nhưng cũng may mắn, người đàn bà đó từ chối ba mình vì không muốn làm điều xấu hổ đó. lần đầu mình phát hiện ba có ý với cô ta là nhờ những bức hình ba chụp trộm, nhưng không ngờ trong đầu ba lại nảy sinh những ý nghĩ kỳ cục tởm lợn ấy. cho tới ngày hôm nay, mình phát hiện tin nhắn như nhắn tin sẽ ghê tởm đó, mình muốn khóc.. và mình đã khóc. đoạn tin nhắn đó mình vẫn chưa nói với mẹ đâu, mình chỉ mấp mé để mẹ tự đoán thôi, không phải vì sợ mẹ sốc mẹ buồn, mà là vì học kỳ mọi chuyện vỡ lẽ ra rồi.. gia đình mình sẽ đi về đâu mẹ và mình sẽ ra sao ba là một người luôn miệng nói yêu vợ yêu gia đình, hồi vài năm trước học kỳ mình còn bé, ba vì ghen tuông mà gây gổ với mẹ, trận đó lớn lắm, mình nhớ như in, nó ám anh mình tới tận bây giờ. sau sự việc đó mình vui vẻ bởi ba mẹ không li hôn và vẫn hạnh phúc cho tới ngày hôm nay 27082023. mình hối hận rồi, đáng lẽ lúc đó nên đường ai nấy đi mới đúng, vậy là sẽ chẳng có chuyện lừa dối bây giờ. mình là một cô gái vừa 20, vẫn còn đi học, vẫn chưa có việc làm, mình không xinh không giỏi nhưng ba mẹ thương mình. mình nghĩ mình là người hạnh phúc nhất.. ôi trời ơi, đời vả mình một cái đau điếng :hôn mặt với đôi mắt cười:, mình xem rất nhiều câu chuyện về tình cảnh rạn nứt gia đình, nghĩ rằng nó sẽ chẳng bao giờ xảy đến với mình đâu.. ai mà có dè haha, đời như một trò đùa. nhưng mình nghĩ rồi, nếu chuyện này kết thúc, mình sẽ ở với mẹ, sau đó đi làm kiếm tiền đỡ đần cho mẹ. 2 mẹ con mình sẽ hạnh phúc bên nhau :trái tim với ruy băng::trái tim lấp lánh:. cảm ơn mọi người đã không ngại dông dài mà đọc đến đây, mình xin nhận hết tất cả đóng góp của các bạn, chỉ mong có gì sai sót đừng mắng mình quá nhiều, mình đã đau khổ lắm rồi :khuôn mặt trầm ngâm: quản trị viên thương mình giúp mình đăng lên nhé, mình thật sự cần lời động viên của mọi người.. mình sẽ biết ơn quản trị viên lắm",0,1
"em chào mọi người , em là nam . đầu tháng 11 em và người yêu đã chia tay . lý do vì có nhiều cuộc cãi vã nên cô ấy mệt . sau học kỳ chia tay em đã hạ mình níu kéo rất nhiều lần , nhưng kết quả bằng không . sau vài ngày chia tay thì cô ấy nói với em là hết tình cảm với em rồi . em không nghĩ là bọn em sẽ chia tay vào thời điểm này được , vì em yêu cô ấy rất nhiều . chuyện xảy ra , em bị sốc , để cho đến bây giờ em chưa thể chấp nhận được sự thật . em đã phải dùng thuốc ngủ trong 1 tuần đầu sau học kỳ chia tay , vì em sợ phải thức , sợ suy nghĩ . học kỳ chúng em chia tay được 1 tuần thì em biết được có 1 người khác đã chủ động trò chuyện với người yêu cũ em . cũng chẳng có tư cách gì nhưng thật sự em thấy rất buồn . em luôn hy vọng là chúng em sẽ quay lại , nhưng hôm nay em thật sự biết cô ấy đã nói rằng hết tình cảm và hoàn toàn không có chuyện quay lại . cảm xúc của em bây giờ rất khó tả . em là con trai nhưng thật sự em quá yếu đuối . em không thể nào thoát ra được khỏi mớ hỗn độn này . em phải làm sao ạ",1,1
"mọi người ơi chuyện là em học cũng được nhất nhì trường, nhưng mà hôm nay em làm sai 1 câu toán dễ trong bài thi, mà cô dạy toán em dữ lắm. với em bị suy nghĩ nhiều nữa ạ, giờ em lo lắm cứ sợ bị cô chửi mọi người ơi",0,1
"liệu mình có đang trong một mối quan hệ độc hại mình có một người bạn trai cách mình 3t, chúng mình yêu nhau được sắp tròn 1 năm rồi. lúc mới đầu thì anh vẫn bình thường, nhưng tầm 5 tháng trở lại thì mình thấy có vẻ mọi chuyện không ổn. anh ấy luôn muốn mình ở bên cạnh, mình nhắn tin hay gọi điện thì anh luôn bắt máy hoặc trả lời một cách nhanh chóng, hay nếu anh gọi điệnnhắn tin lâu không thấy mình trả lời bắt đầu nghĩ lung tung và gọi điện liên tục cho tới học kỳ mình bắt máy. anh ấy cũng không thích mình ở chơi cùng người khác giới, thậm chí đối với bạn nữ anh ấy cũng khá khó chịu, nhiều lúc anh ấy cũng hay cáu gắt, nổi điên xong tự làm bạn thân bị thương. không những thế, có lần anh còn chặn và xóa hết số điện thoại các bạn của mình. mình biết, nhưng mà mình cũng mềm lòng. anh ấy nói anh chỉ có duy nhất mình thôi, anh không thể sống nếu thiếu mình. anh không có bạn, các mối quan hệ gia đình cũng không được tốt cho lắm. nhưng mình lại thấy mối quan hệ này khiến tớ ngột ngạt, liệu mình phải làm gì bây giờ",0,1
"mọi người cho em hỏi là việc mà mình mời nước các bạnanhchị ở chỗ làm là điều hết sức bình thường đúng không ạ. tại kiểu em nhân viên mới vào nên cũng muốn dễ hoà đồng với mn. nhưng mà do em mới vào thì lương không có, mới đóng tiền trọ xong cũng còn vài đồng thôi ạ. mà anh quản lí chỗ em ngộ lắm mn. lúc đầu anh kiểu nhắc khéo em bao nước á, cái em nói là em hết tiền rùi anh ơi, để tháng này có lương rùi em khao mọi người nhen. cái anh cười cười xong đi chỗ khác. qua hôm sau anh lại nói tiếp nữa...., nói chung ngày nào anh cũng nhắc hết. xong cái tới bữa kia kế bên có quán phúc long vừa khai trương hen mà 1 tuần nữa mới có lương, em đang làm cái anh đi tới em thấy anh em mới nở nụ cười thân thiện cái anh nói em thấy quán phúc long mới khai trương bên kia không em nói dạ thấy. cái ông nói tiếp anh chỉ nói vậy thôi chứ không co ý gì em tự hiểu hen. ủa rồi bộ anh đợi em lãnh lương không được ha sao á.",0,0
người yêu mình ngày nào cũng đi net mà kiểu không thông báo gì cho mình cứ im im luôn 34 tiếng rồi lúc về coi như không có gì thì phải làm gì ạ mình muốn nói để anh không nghĩ mình là người đòi hỏi nhưng mà không biết nói như nào để cả 2 hiểu nhau hơn và thoải mái với nhau ý mong mọi người giúp mình với ạ,0,0
