text,label tay,label chatgpt,label,keyword của mình,keyword của chatgpt,Reason của mình,Reason của chatgpt,từ viết tắt
"em chào mọi người, em có 1 số chuyện khiến em đau đầu cả tháng nay. em cần mn giúp em ạ.

(em vẫn còn học cấp 3 ạ). chuyện là em có chơi với 1 nhóm bạn, nhưng đến tháng 10 năm ngoái em có xích mích với 1 bạn trong nhóm đó, thật sự nó chẳng có gì ( chuyện quá nhỏ )cái khiến nó có vấn đề là do lúc đấy cả hai không giải quyết chuyện luôn mà để đến tận ngày hôm qua. lúc đầu em ko gquyet luôn là do em có vấn đề ( lúc ý tâm trạng rối bời ) nên em buông luôn. nhưng sau này em nhận ra bạn bè em dần rời xa em, do bọn nó chơi thân với bạn kia hơn em nên khi các bạn đi cùng nhau em không thể đi theo được vì có bạn. và em nhận ra luôn rằng trong lớp này chưa có ai hợp với em, nhưng vẫn phải có bạn chứ nhỉ, không thể mãi một mình, em g.hét việc bản thân phải cô đơn như này ( vì từ c2 em cũng có vấn đề về chuyện bạn bè và cả năm c2 ko chơi được hay nch quá thân với ai, em tưởng lên c3 sẽ thay đổi được ). em biết ko ai bên ai mãi nên cũng chả kì vọng đâu ạ, giờ em chỉ cần nch thân các thứ trên lớp cho đỡ tủi thôi ạ. trước đây em cứ muốn có bạn thân, xong không đáp ứng được thì lại d.ỗi ( giờ em sợ rồi ). em đã rút ra bài học cho bản thân, tròn đây không có ai cùng tần số với em nên chỉ chơi thân được thôi ạ. mà giờ còn vướng vụ này nữa, với em ít nhắn tin với các bạn nhóm kia nên giờ nch cũng quá xa cách, và em cảm tưởng 1 vài bạn nữ trong lớp mà chơi cùng bạn í cũng không thích em ( có thể đúng hoặc sai vì em chả làm gì ai ). mà có vài mqh do sự im lặng nên ko nch được với nhau như này ( em cũng ko biết tại sao nhưng em ko muốn như vậy nữa ) em muốn thay đổi ạ. Dạo gần đây em có ntin xin lỗi bạn để có thể chơi lại được với tất cả mọi người, nhưng ở ngoài vẫn chưa dám nch được câu nào ạ. giờ ra chơi hay lúc thể dục em chỉ ngồi 1 góc ạ huhu. lúc đầu em cũng nghĩ thế vẫn okay, nhưng nó chẳng ổn 1 tí nào ạ. nhma em cũng tìm cách rồi, hay em nghĩ rằng nên chơi với các bạn khác..thiếu gì người, không trong lớp thì ngoài lớp nhưng em nhận ra rất khó để thân với ai ở ngoài lớp ạ :< ( em bị nói phiền vì cố huhu ) giờ phải làm sao đây mọi người, hay em chơi với nhóm bạn khác nhé, nhưng khó quá. ai cũng có nhóm từ lâu rồi ạ. qua chuyện này em rút ra khá nhiều bài học rồi, em tự biết mình không tốt rồi ạ :(( mọi người cho em lời khuyên với. em chẳng muốn c3 trôi qua như thế đâu ạ. 

làm thế nào để ngta cần mình, muốn chơi thật sự chứ ko xem mình như 1 ai đó luôn ở bên họ, ko trân trọng mình ạ... cảm ơn mọi người",0,0,0,,,,,"gquyet, g.hét, c2, c3, nch"
"Cho tớ một ít năng lượng tích cực của mọi người có đc không, tớ sắp cạn kiệt luôn rồi☺️",0,0,0,,,,,
"YÊU MỘT NGƯỜI NHẠY CẢM CÓ LÀM BẠN MỆT KHÔNG ?

khi ra ngoài tiếp xúc bb , thấy ng yêu mình đụng chạm hoặc nch với bạn khác giới mới gặp là mình cứ suy diễn rồi tức giận , mình sợ làm người khác buồn nhưng cũng sợ nỗi buồn người khác mang lại cho mình , do mình nhạy cảm hay do mình ích kỷ v mn",0,0,0,,,Tình yêu,,"bb, nch, v"
"Mọi người giúp mình phân biệt giữa critical thinking, overthinking và trái tim thủy tinh bông tuyết được không ạ 😭 

Người yêu em làm gì cũng giận em, em rủ đi ăn sáng thì bạn bảo không đi, em đi mua đồ ăn sáng về thì giận em rồi la mắng em, bảo em không năn nỉ bạn ấy đi ăn sáng. 

Hay hôm đi bus, mình với ny đang ngồi thì mình thấy 1 bạn nữ đang đeo nhiều hành lý nặng mà phải đứng, nên mình kêu bạn đó ngồi chung với bạn gái em thì bạn gái em lại la um sùm trong xe bus lên là mình lăng nhăng, em vừa quê vừa ngượng.

Khi em góp ý thì bạn ấy cứ nói ""bản thân overthinking"", rồi hét với em là sao em không thông cảm cho việc đó. Em lên mạng đi đâu cũng thấy overthinking. Em tự hỏi người ta có đang lạm dụng cái khái niệm này quá mức để biện minh cho việc bản thân thủy tinh quá mức.

Em quyết định sẽ chia tay rồi, cứ cái đà này em không biết em đang yêu hay đang làm người hầu nữa...",0,0,0,,,,,critical thinking
"Em chia tay được 2 tháng rồi, đến giờ thì nhiều lúc e thấy ổn nhưng khi ở 1 mình nghĩ tới thì e lại thấy buồn chán, đau đớn đến mức giống như đau tim thật ấy ạ, mỗi đợt như thế lại kéo dài 1 đến 2 ngày. Không biết có anh chị nào cũng như thế không ạ và em phải làm gì đây ạ😥",1,1,1,"buồn chán, đau đớn","đau đớn, buồn chán",Tình yêu,Tình yêu,
"Chào mọi người,mình bình thường là một người rất vui vẻ và hoạt bát,mình hay là người đưa ra cho nkhac lời khuyên.Mình hay nói hay cười lắm nhưng bản chất thật sự của mình rất nhạy cảm hay buồn và suy nghĩ mình hay buồn ai nói gì mình cũng snghi.Bản thân khá vui vẻ hòa đồng ai cũng nói mình rất vui vẻ nhí nhảnh và dễ thương.Tới thời điểm hiện tại cầm toa thuốc này trên tay mình mới biết bản thân mình thật sự kh vui vẻ như mình hay thể hiện ra bên ngoài.Từ tình cảm tới gia đình mình không thể hiện hay bọc lộ được cảm xúc.Nhiều khi muốn nói nhưng lại không nói được chỉ im lặng rồi để thời gian trôi qua tự bản thân sẽ hết buồn,hay bị mọi người la vì không chịu mở lòng chia sẻ.Nhưng mình biết nói ra cũng kh giải quyết được gì.Có lần mình kh kiềm chế được cảm xúc đã bọc phát lên một lần thì lại bị mắng,mình không biết phải làm thế nào nữa không biết có phải bản thân suy nghĩ quá nhiều không.Cảm ơn mọi người đã đọc bài viết của em…",1,0,1,"nhạy cảm, buồn, suy nghĩ nhiều",,Tâm lý cá nhân,,"nkhac, snghi, kh, "
"Mình snghi lắm mn, vì nyc của ngyeu mình xinh lắm luon ý, mình có acc clone theo dõi bạn ý, mình cảm thấy bạn ấy rất xinh. Trước đây ngyeu mình đã từng yeu bạn ấy rất nhiều ( hồi cap3). Nhưng bây g ngyeu mình bảo yêu mình nhất tùe trước giờ và mình cũng là ng đầu đc a ckhai ạ nhưng mình vẫn snghi và buồn vì mình ko dc xinh huhu",0,1,0,,suy nghĩ nhiều,,Tình yêu,"ngyeu, acc clone, bây g, ckhai"
"1 CHÚT CHIA SẺ CỦA BẢN THÂN .
Không hẳn là tớ than vãn gì đâu nma có nhiều thứ chẳng thể chia sẻ với ng thân , ng quen  .
 Cũng chả hiểu tại sao . 😐
Đôi khi nửa đêm chẳng thể ngủ đc rồi bỗng bật khóc .Suy nghĩ về những lúc nhỏ , kỉ niệm cũ với nhiều ng với những ngày tháng từng bị bạo lực gđ , nghĩ đến tương lai mịt mù , những sự tủi thân và cô đơn . Mọi thứ như dòng nước mắt trào ra , dẫu biết cuộc sống mình tốt hơn nhiều người , còn đủ ba mẹ , cơm ăn áo mặc ko thiếu thốn , nhiều ng nhìn và bảo cuộc sống của tớ rất hạnh phúc . Ừ thì nhìn hạnh phúc nhỉ ? , ba mẹ cãi nhau , bị cô lập trong lớp học , bị áp lực điểm số , bị so sánh với em trai , bị xhtd bởi chính ng thân . Lâu dần trở nên cô lập , không còn nói chuyện với cha mẹ , không còn chia sẻ hay tâm sự bất cứ thứ gì với họ , bạn bè chỉ hăm he lợi ích rồi dần bỏ đi...
Đam mê lớn nhất là Game và truyện tranh , giúp tớ thư giãn và thoải mái hơn , có nhiều lần nghĩ quẩn và nhìn vào điện thoại , ồ tớ còn những ng bạn ng ae qua game , có những ván game xuyên đêm, nốc bò húc và cafe và những trận cười khùng điên , còn bao nhiêu mục đích dang dở ... Tớ nhắm mắt lại và ngủ 1 giấc mơ đẹp.... 
Mỗi ngày mở mắt ra vẫn cười , vẫn vui vẻ , vẫn tự thôi miên bản thân là cái gì rồi cũng sẽ qua , cuộc sống còn nhiều niềm vui mà , mình cứ cố gắng thôi !
Cảm ơn vì những người đọc 🥰",0,1,0,,"bạo lực gia đình, cô lập",,Gia đình,"nma, gđ, xhtd, ae"
"Khi chia tay một mối tình bạn tiếc nhất điều gì?: TÌNH CẢM, THỜI GIAN, hay CON NGƯỜI?",0,0,0,,,,,
"tui và em họ của anh rể có thể quen nhau không mọi người 
(quen ở đây là mqh yêu đương ạ)",0,0,0,,,,,
"Mình là năm cuối của cấp 3. Dạo này mình gặp khá nhìu chiện khiến bản thân mắc overthinking nhưng đều hết nhanh trg 1 ngày. Nhưng khi mẹ mình mắng mình thì khác, vì mún tốt mà mắng mình, mình cảm thấy giống như điểm tốt ko thấy, chỉ thấy điểm xấu là bị mắng chửi. Giống như tối nay, mình chở mẹ về sau khi mình hc thêm xong thì ko may mình vừa thay kính xong sáng nay và đg thích nghi với kính mới nên mình nhìn ko rõ lúc chạy xe. Lúc đó đg kẹt xe mà mình ko thể xác định đc chỗ vắng nên mẹ mình cx mắng mình nhìu suốt cả chuyến. Đây ko phải lần 1 mà cx khá nhìu lần, lâu lâu mình sẽ chạy ko ổn nhưng vẫn chạy đc. Mình quen rồi nhưng mỗi lần bị mắng là giống như bản thân mình là sai, mẹ mình là đúng",1,1,1,overthinking,overthinking,Gia đình,Gia đình,"nhìu chiện, trg, mún,hc thêm,  đg, "
"tớ nản quá. tớ hiện đang học lớp 12, bây giờ gần tết mà lại có quá nhiều khoản tiền phải đóng, nào là tiền thi thử, tiền hội chợ ở trường, tiền quỹ,... rồi qua tết là tiền học, tiền chụp kỉ yếu, v..v.., học xong cấp 3 tớ đi du học nữa nên phải đóng tiền học tiếng và số tiền khá lớn, giờ tớ còn chẳng dám xin bố mẹ nữa, tuy nhà tớ k hẳn là khó khăn nhưng cũng chẳng dư dả. Cố gắng cả kì 1 được điểm cao nhất lớp nhưng vì hạnh kiểm nên k được học sinh giỏi, tớ không những không khiến bố mẹ tớ tự hào, còn làm mẹ tớ xấu hổ khi đi họp phụ huynh cho tớ sắp tới. tớ thất vọng về bản thân quá, mấy hôm nay trên đường về nhà nước mắt cứ rơi thôi",0,0,0,,,,,
"Xin chào mọi người ạ,
Em là một người khá ham vui, hướng ngoại,yêu thích sự phù phiếm bên ngoài nên em luôn khát khao được người khác để ý, quan tâm và coi trọng. Em cứ nghĩ một cuộc sống ý nghĩa là cuộc sống vui vẻ, được bao quanh bởi mọi người, có nhiều bạn, có bạn thân, có hội bạn, hoặc ít nhất đối với 1 học sinh cấp 3 như em thì nên có 1 cuộc sống như thế. 
Trước đây, em từng có 1 cuộc sống như thế và em cũng từng coi đó là sự kiêu hãnh và niềm vui của mình. Nhưng mà, bây giờ, em nhận ra rằng bên cạnh mình không có 1 người bạn thân thật sự, không có hội bạn thật sự nào, cũng không còn nhiều bạn như trước nữa. Em có bạn tâm sự, đi chơi cùng, có người để nhờ vả nhưng e nhận ra rằng mình cũng không thật sự quan trọng đối với họ, có cũng đc mà mất cũng không sao. Em cứ đau khổ, dằn vặt, so đo, để ý tất cả các connection của mọi người rồi lại tự cảm thấy tủi thân. Chỉ một sự việc đơn giản như có bạn nghỉ học và có một nhóm bạn trong lớp biết lý do, em lại tự nghĩ rằng giả sử mình nghỉ thì có ai để ý hay quan tâm không nhỉ? Khi em xem film, đọc truyện, lướt mxh cứ nhắc đến chữ bạn là em lại thấy tủi thân.
Cũng vì thế mà em nhận ra rằng hình như mình đang theo đuổi những niềm vui từ bên ngoài hơi nhiều mà quên mất rằng mình phải xây dựng hạnh phúc ,sự đủ đầy từ bên trong. Việc khiến cho người khác thích mình, thương mình, để ý mình thật sự quá mệt mỏi. Tuy vậy, em đã thử khá nhiều cách nhưng mà vẫn còn rất emotionally dependent( hic e không biết diễn tả tiếng việt sao cho hợp lý, mong mn thông cảm ạ). Em rất mong có thể nghe đc lời khuyên từ mn ạ❤️
Vì em đang rất cần nên mong admin duyệt. Em cảm ơn ạ.",0,0,0,,,,,mxh
"Mình là nhà tâm lý trị liệu, hãy hỏi mình bất kỳ điều gì, topic này sẽ chỉ mở trong 72h.
#AMA #AskMeAnything",0,0,0,,,,,
"Chào các bạn, ko biết ai có bị adhd như mình ko, bệnh mình ban đầu mình nó cx nhẹ, nhưng dạo này mình cảm thấy bản thân mình ko ổn lắm. Bản thân mình cũng là đứa hay vạch ra những mục tiêu cho bản thân, hay lên danh sách những việc cần làm, nhưng lại dễ bị xao nhãng, ngồi được 1 lúc lại đứng dậy đi uống nước, ngồi được tý lại đi làm việc khác. Cố gắng cho bản thân ngồi bàn làm việc trong 30’ thì đầu lại xao nhãng mở cái khác ngồi cười hơ hớ thời gian của mình bị trôi 1 cách cực kỳ xao nhãng, mình cx có thể xao nhãng tới mức đang ngồi làm việc tự nhiên nhớ chưa giặt quần áo cx đi giặt :))) Nói chung là mình cảm giác ko kiểm soát đc hành vi của mình, trong lúc “tỉnh táo” nhận ra được hành vi bản thân và thời gian trôi qua vô nghĩa quá lại đâm ra suy, tự trách bản thân ăn hại, lo lắng, lo âu tràn ngập rồi lại over thinking các kiểu nữa…Tính mình khá nóng tính, ăn nói cx kiểu to tiếng, nhiều khi nói gì ra cũng phải kiểm soát volume, đặc biệt hay quên 🥲 
Mn có cách nào giúp em nâng cao sự tận trung và giảm bệnh Adhd này đc ko ạ?",1,1,1,"ADHD (Rối loạn tăng động giảm chú ý),Không kiểm soát được hành vi, Tự trách bản thân","ADHD, overthinking, lo lắng",Tâm lý cá nhân,Tâm lý cá nhân,adhd
"CẢM GIÁC GIA ĐÌNH KHÔNG GÂY ÁP LỰC ĐIỂM SỐ LÊN MÌNH LÀ NHƯ THẾ NÀO?
Chào mn , mình hiện tại đang học cấp 3 . Học lực của mình khá tệ nhưng bố mẹ mình không la mắng hay bắt mình học , ngược lại còn không hỏi j về điểm số của mình sau mỗi kì thi . Nhưng chính điều ấy đã khiến mình mất đi mục tiêu để sống , mình không còn j để phấn đấu theo đuổi nữa ... Thật ra mình đã từng học rất giỏi,hồi cấp 2 mình như kiểu "" con nhà người ta chính hiệu "" ấy . Mình đạt điểm cao hầu hết tất cả các môn với thi hsg tỉnh cx đc giải khá cao . Hồi ấy bố mẹ mình cx k thực sự quan tâm đến điểm số của mình nhưng bản thân mình cx tự nhủ là phải cố gắng hết sức cho bằng bạn bằng bè ,ngoài ra còn đc khen trước mặt họ hàng nữa . Nhưng khi mình nỗ lực và mọi thứ rất tốt như vậy , mình lại nhận ra cho dù mình có học giỏi hay đc khen ngợi nhiều đi chăng nữa ... bố mẹ vẫn không qtam đến điểm số của mình ... hoặc là do không quan tâm đến mình . Và thế là sau khi thi xong lên cấp 3 với số điểm cũng gọi là khá cao mình quyết định bỏ hết tất cả . Mình không chăm chỉ học hành như trước nữa , mình bỏ bê việc học và không thèm đụng đến sách vở sau giờ học . Tất nhiên là sau đó học lực của mình tụt dốc thậm tệ . Nhưng bố mẹ mình vẫn không hỏi han j về điều đó ... Mình sau khi hc hành sa sút cũng nhận ra bản thân rất thoải mái và tự do khi không bị bó buộc vào sách vở . Và cứ như vậy đến bây giờ . Nhưng dần rồi mình cũng cảm nhận được , trong khi các bạn trong lớp luôn cố gắng đạt điểm cao và vô số giải thưởng khác , còn mình thì vẫn sa đoạ và chơi bời như vậy . Mọi thứ khiến cho mình cảm thất bản thân rất trống rỗng . Không còn mục tiêu , không còn đích đến nữa .... Vậy mình bước tiếp để làm gì ? 
Mình đã cố gắng thay đổi thói quen , cũng như học làm những thứ mới hơn như vẽ vời , cosplay ... Nhưng đều vô dụng , mọi thứ đều không như trước nữa 
Mình hiện tại vẫn vô định và tiếp tục làm những hành động không cảm xúc như đến trường và về nhà , mình thật sự rất khó chịu. Mn có thể cho mình lời khuyên được không ?",0,0,0,,,,,"hsg, qtam,  hc hành, cosplay"
"Mình năm nay 26t đã lấy ck và có 2 đứa con, cu đầu 4 tuổi bé sau thì ms 9 tháng. Nghĩ lại lựa đúng ck k ra gì, lúc bầu bì k nhờ gì đc, con đau nửa đêm cũng phải bồng,chiều đẻ nhưng sáng vẫn chở con đi học trong khi ck rảnh rỗi. Đến lúc đẻ con ra thì quấy 3 tháng trời mà ck thì bế đc 3 lần, bình sữa con mình cũng phải rửa từ lúc còn ở bệnh viện, vk ở cữ thì chưa bao giờ mua đồ ăn sáng cho vk, vk đau nhờ mua thuốc thì ns tự đi mua đi,.... lương thì k bao giờ đưa cho vk, thưởng tháng 13 thì ns dối k có, rốt cuộc ck đem trả nợ số đề hết. Có nên chấm dứt cuộc hôn nhân như thế này không ạ, nhìn 2 đứa con thì tội, trong tay cũng chưa có công việc ổn định vì bé sau bị động thai nên phải nghỉ việc luôn 🥲🥲🥲",0,0,0,,,,,"t (tuổi), ck (chồng), vk(vợ), ns"
"Mọi người góp ý giúp em với ạ!!!
Chuyện là em và mẹ em không hợp nhau lắm. Mặc dù em rất thương mẹ em và mẹ em cũng vậy nhưng mà mỗi lần nói với nhau vài 3 câu thì em lại mất bình tĩnh và thường hay khó chịu với mẹ. Sau đó em liền hối hận ngay lập tức và tự hứa lần sau sẽ không như vậy nữa, nhưng mà lần sau em vẫn như vậy. Chủ yếu là cách nói chuyện của mẹ em thực sự là có vấn đề, dù nhiều lần em khống chế được lời nói nhưng không khống chế được biểu cảm khuôn mặt. Mọi người chỉ em làm thế nào để nói cho mẹ em biet rằng quan điểm của mẹ thực sự cổ hủ và có vấn đề, hoặc là chỉ em cách để không mất bình tĩnh khi nói chuyện với mẹ nữa với ạ. Em là nam ạ
Mong admin duyệt 😭",0,0,0,,,,,
"Cho mình hỏi mấy bạn nam stalk nyc là do tò mò ngta đang sống ntn hay còn nhớ/ thương ạ? 

Hãy cho mình biết với giờ mình rối lắm.
Mình ko biết nên nói ra cho anh ấy biết rằng mình đã thấy anh ấy stalk fb nyc hay mình chỉ âm thầm chăm sóc bản thân để anh ấy mê mình hơn, quên nyc đi.

Mình và anh ấy đang nồng thắm và yên bình lắm nên đừng ai vote chia tay nhen ạ :(((",0,0,0,,,,,"ngta, stalk"
